Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
54,96,67.07977737,-4,1.70150153,22.33984375,0.14613885,78.47656249,Sedentary,1,0
47,124,82.80175439,-8,2.259860152,18.1640625,0.349416813,198.46875,Sedentary,1,0
43,118,81.14603175,-20,2.119172721,21.46484375,0.339284827,213.4101562,Sedentary,1,0
45,130,87.22772277,18,1.067708085,11.09570312,0.115095097,69.40234373,Sedentary,1,0
37,93,74.14716312,-36,1.304866481,16.87890625,0.120461243,67.69921874,Sedentary,1,0
54,127,91.83823529,-2,2.797714614,23.3046875,0.527532659,321.7949218,Sedentary,1,0
76,136,110.585034,-32,3.751296537,22.69921875,0.919549217,539.7753906,Sedentary,1,0
37,114,88.02521008,-18,1.598277009,16.87890625,0.194146554,115.1289062,Sedentary,1,0
60,107,78.02982456,-16,2.479096583,20.37109375,0.366231569,208.0195312,Sedentary,1,0
57,103,69.09552846,-17,2.691905874,22.0078125,0.460522959,225.65625,Sedentary,1,0
63,124,87.91869919,6,8.096729178,23.84179687,4.288075993,2105.445312,Sedentary,1,0
48,119,71.53703704,-4,3.509227067,19.85546875,0.813512866,437.6699218,Sedentary,1,0
60,119,73.29817444,2,2.517222813,19.85546875,0.446747449,218.90625,Sedentary,1,0
55,111,70.9047619,24,3.394437077,17.21875,0.759635417,45.578125,Sedentary,1,0
51,95,62.15071283,-4,1.738982032,19.20703125,0.204195424,99.85156249,Sedentary,1,0
62,109,76.10416667,-9,1.561066868,19.85546875,0.123939849,59.3671875,Sedentary,1,0
60,129,77.49375,17,4.96118132,20.953125,1.58780092,760.5566405,Sedentary,1,0
64,102,79.34583333,-5,4.980555318,21.46289062,1.860196293,889.1738279,Sedentary,1,0
63,96,75.07276507,-1,2.730171919,21.9375,0.482666016,231.6796875,Sedentary,1,0
66,98,77.71666667,23,2.065208486,20.30273437,0.24766938,117.890625,Sedentary,1,0
64,106,79.77291667,-6,1.209490553,15.1328125,0.109898013,52.53124999,Sedentary,1,0
54,100,78.4537037,6,3.139644569,18.75,0.669442807,70.96093749,Sedentary,1,0
47,114,71.47592593,32,2.627974354,19.0625,0.452667577,243.5351562,Sedentary,1,0
54,118,78.50185185,3,6.377932961,21.0234375,3.05155959,1638.6875,Sedentary,1,0
58,123,89.7659176,23,6.427235652,32.87109375,2.791948132,1485.316406,Sedentary,1,0
54,174,110.1907407,14,8.185602304,31.7890625,5.161564823,2776.921875,Sedentary,1,0
45,103,60.04081633,16,0,0,0,0,Sedentary,1,0
50,106,71.93333333,-1,4.185263799,21.60742187,1.23486781,665.5937498,Sedentary,1,0
47,110,66.86111111,38,3.867631595,18.890625,1.164225562,627.517578,Sedentary,1,0
56,124,86.00747664,-45,5.349909448,22.19140625,2.273661028,1211.861328,Sedentary,1,0
56,116,85.53703704,23,4.647604616,18.75,1.798646944,969.4707029,Sedentary,1,0
44,116,58.36296296,61,2.59240134,16.6640625,0.540453966,291.3046874,Sedentary,1,0
65,105,83.94615385,-6,5.586060125,21.60742187,2.30741279,297.6562499,Sedentary,1,0
54,128,87.64806867,17,5.336412787,22.77539062,2.104256465,976.3749998,Sedentary,1,0
64,154,95.55438596,6,6.189059838,35.7421875,2.652113364,1506.40039,Sedentary,1,0
49,125,69.51458333,31,3.546853341,21.7265625,0.823037886,393.4121093,Sedentary,1,0
50,108,74.72962963,-15,3.033212679,19.40039062,0.638849432,344.3398437,Sedentary,1,0
48,117,69.49791667,23,3.431943463,21.60742187,0.916570166,439.0371093,Sedentary,1,0
53,106,66.25138632,4,2.912289352,18.875,0.61286169,330.9453125,Sedentary,1,0
49,112,66.06029106,49,3.253467539,20.57617187,0.689855957,331.1308593,Sedentary,1,0
54,126,98.96195652,-26,2.782758852,20.8515625,0.550295627,303.2128906,Sedentary,1,0
99,116,107.9166667,10,7.341825242,18.75,4.409993489,158.7597656,Sedentary,1,0
63,156,127.5034674,24,6.007927937,21.6796875,2.574615351,1851.148437,Sedentary,1,0
54,108,73.54029304,1,0,0,0,0,Sedentary,1,0
59,110,77.06839187,-5,2.198766436,16.734375,0.329543813,178.2832031,Sedentary,1,0
52,95,69.95454545,-10,1.227855502,16.6796875,0.105950546,55.8359375,Sedentary,1,0
59,94,76.85205993,-15,0,0,0,0,Sedentary,1,0
67,104,83.01030928,3,2.864821763,19.65625,0.595541626,230.4746093,Sedentary,1,0
62,133,79.02996255,12,2.370262472,18.5625,0.422281748,225.0761719,Sedentary,1,0
65,150,103.662963,-30,4.562104637,20.3203125,1.83973847,989.7792968,Sedentary,1,0
64,167,95.71296296,36,8.593863561,32.19335937,7.860770088,4236.955078,Sedentary,1,0
58,169,90.12222222,44,7.018371345,21.80664062,3.73067931,2007.105469,Sedentary,1,0
73,133,96.44526902,-34,7.541427658,19.5625,4.367838541,2345.529297,Sedentary,1,0
70,112,81.98301887,-10,1.668434123,14.25,0.228919592,120.640625,Sedentary,1,0
60,104,69.94085028,3,1.460106282,16.296875,0.152630015,82.26757811,Sedentary,1,0
68,120,105.5157699,-14,3.160203886,19.27148437,0.76886566,412.8808593,Sedentary,1,0
73,136,114.7504425,-13,3.292124385,21.65625,0.824326293,464.0957031,Sedentary,1,0
74,124,107.5588752,16,3.999357505,18.04296875,1.243000441,704.7812499,Sedentary,1,0
80,113,95.51041667,1,2.862922342,19.52929687,0.537561928,308.5605468,Sedentary,1,0
69,130,108.6958763,-10,3.067218818,19.98046875,0.703981811,407.6054687,Sedentary,1,0
48,117,78.54365079,-21,2.070303377,16.3515625,0.321063403,161.1738281,Sedentary,1,0
35,159,95.90093458,34,7.618870551,29.78320312,4.169760338,2218.3125,Sedentary,1,0
54,144,93.57905544,51,3.472300584,20.78125,0.734387081,356.1777344,Sedentary,1,0
67,121,92.65020576,-8,5.087596237,20.984375,1.810252899,877.9726561,Sedentary,1,0
48,103,75.2952183,-6,2.059898223,16.9921875,0.309539731,148.2695312,Sedentary,1,0
60,136,83.74845361,-19,4.647362216,21.60742187,1.659662914,801.6171874,Sedentary,1,0
59,111,77.34074074,-5,2.64808009,18.8125,0.427372014,230.3535156,Sedentary,1,0
58,101,74.65,-5,5.077629137,18.8125,1.933437645,1040.189453,Sedentary,1,0
56,94,64.73283859,-3,3.190010226,19.98828125,0.655051986,352.4179687,Sedentary,1,0
58,135,74.60813309,-9,2.446411549,18.1640625,0.392364332,211.484375,Sedentary,1,0
55,157,71.35315985,40,1.06882123,10.86328125,0.113605556,60.89257811,Sedentary,1,0
53,86,65.28148148,1,2.005568211,19.921875,0.290957647,156.8261719,Sedentary,1,0
42,102,78.152513,22,1.631910758,19.375,0.177513202,101.8925781,Sedentary,1,0
43,124,81.9391635,-15,3.201801166,16.87890625,0.807079613,423.7167968,Sedentary,1,0
70,116,90.01073345,2,3.266269127,19.375,0.781176495,435.8964843,Sedentary,1,0
49,138,97.9886148,35,6.798930119,37.375,3.547517328,1855.351562,Sedentary,1,0
63,129,98.15053763,-12,4.570761935,19.27148437,1.508361486,837.1406249,Sedentary,1,0
53,103,71.73197782,28,2.782332937,18.22265625,0.531944444,287.25,Sedentary,1,0
68,120,88.43068392,-16,2.603856578,17.84179687,0.514547164,277.8554687,Sedentary,1,0
68,126,98.94833333,-7,7.562713212,22.62304687,5.097447219,3048.273437,Sedentary,1,0
76,215,167.9357143,-35,5.049740722,20.57617187,1.713895494,709.5527343,Sedentary,1,0
57,139,85.17222222,40,6.578832163,22.76367187,2.723734462,1465.36914,Sedentary,1,0
60,118,77.35700935,7,2.41455121,16.8984375,0.445096705,237.6816406,Sedentary,1,0
46,122,68.98148148,15,2.948458859,18.34570312,0.653383962,350.8671874,Sedentary,1,0
52,123,84.71111111,-18,8.443951034,32.59375,7.053364883,3801.763672,Sedentary,1,0
53,125,79.95563771,42,7.878962999,20.453125,4.74162584,2555.736328,Sedentary,1,0
